id,title,year,journal,doi,claude category,organism,research,
1,Reproductive assurance for a rewardless epiphytic orchid in Puerto Rico Pleurothallis ruscifolia,2012,Caribbean Journal of Science,,,,pollination,
2,Asynchronous changes in phenology of migrating Broad-tailed Hummingbirds and their early-season nectar resources,2012,Ecology,https://doi.org/10.1890/12-0255.1,,plant|animal,population|interactions|phenology|environmental change|pollination,
3,Phenological overlap of interacting species in a changing climate: an assessment of available approaches,2013,Ecology & Evolution,https://doi.org/10.1002/ece3.722,,,community|interactions|environmental change|phenology,
4,Shifts in flowering phenology reshape a subalpine plant community,2014,PNAS,https://doi.org/10.1073/pnas.1323073111,,plant,community|interactions|environmental change|phenology,
5,Phenological responses to climate change do not exhibit phylogenetic signal in a subalpine plant community,2015,Ecology,https://doi.org/10.1890/14-0547.1,,plant,phenology|community|environmental change,
6,Phenological shifts and the fate of mutualism,2015,Oikos,https://doi.org/10.1111/oik.01303,,,population|community|interactions|environmental change|phenology,
7,Frost sensitivity of leaves and flowers of subalpine plants is related to tissue type and phenology,2016,Journal of Ecology,https://doi.org/10.1111/1365-2745.12482,,plant,population|environmental change|phenology,
8,Interaction rewiring and the rapid turnover of plant-pollinator networks,2017,Ecology Letters,https://doi.org/10.1111/ele.12740,,plant|animal,community|interactions|phenology|pollination,
9,Atypical flowers can be as profitable as typical hummingbird flowers,2018,The American Naturalist,https://doi.org/10.1086/699827,,animal,population|interactions|pollination,
10,Art/Science Collaborations: New Explorations of Ecological Systems Values and their Feedbacks,2018,Bulletin of the Ecological Society of America,https://doi.org/10.1002/bes2.1384,,,creative inquiry,
11,Experimental warming in the field delays phenology and reduces body size fat content and survival: implications for the persistence of a pollinator under climate change,2018,Functional Ecology,https://doi.org/10.1111/1365-2435.13151,,animal,population|community|environmental change|phenology,
12,Two-year bee or not two-year bee? How voltinism is affected by temperature and season-length in a high elevation solitary bee,2019,The American Naturalist,https://doi.org/10.1086/702551,,animal,population|environmental change|phenology,
13,Reproductive losses due to climate change-induced earlier flowering are not the primary threat to plant population viability in a perennial herb,2019,Journal of Ecology,https://doi.org/10.1111/1365-2745.13190,,plant,population|environmental change|phenology,
14,Uneven global distribution of food web studies under climate change,2019,Ecosphere,https://doi.org/10.1002/ecs2.2645,,,community|interactions|environmental change,
15,Contrasting effects of climate change on seasonal survival of a hibernating mammal,2020,PNAS,https://doi.org/10.1073/pnas.1918584117,,animal,population|environmental change,
16,First records of Megachile apicalis from Illinois found in heavily urbanized areas within the City of Chicago,2020,Great Lakes Entomologist,,,animal,population,
17,Temporal flexibility in the structure of plant-pollinator interaction networks,2020,Oikos,https://doi.org/10.1111/oik.07526,,plant|animal,community|interactions|phenology,
18,Temporal scale-dependence of plant-pollinator networks,2020,Oikos,https://doi.org/10.1111/oik.07303,,plant|animal,community|interactions|phenology,
19,Untangling the seasonal dynamics of plant-pollinator communities,2020,Nature Communications,https://doi.org/10.1038/s41467-020-17894-y,,plant|animal,community|interactions|phenology|pollination,
20,Chicago bees: urban areas support diverse bee communities but with more non-native bee species compared to suburban areas,2021,Environmental Entomology,https://doi.org/10.1093/ee/nvab055,,pollinator,community|interactions|environmental change,
21,Conceptual and practical issues limit the utility of statistical estimators of phenological events,2021,Ecosphere,https://doi.org/10.1002/ecs2.3828,,plant,population|community|environmental change|phenology,
